Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
The Huntington Bank Sponsorship,"dev, test, prod","hbs-tc.dev.umn.edu, hbs-tc.stg.umn.edu","nickm, irsfe008",hbs.tc.umn.edu,AUXS - Auxiliary Services,
M Dining Twin Cities,"dev, test, prod","dining-tc.dev.umn.edu, dining-tc.stg.umn.edu, www.dining.tc.umn.edu, dining.umn.edu, www.dining.umn.edu, diningfuture.umn.edu, diningjobs.umn.edu, catering.umn.edu","irsfe008, nickm",dining.tc.umn.edu,AUXS - Auxiliary Services,
U Card Twin Cities,"dev, test, prod","ucard-tc.dev.umn.edu, ucard-tc.stg.umn.edu, g4g.umn.edu","irsfe008, nickm, asche069",ucard.tc.umn.edu,AUXS - Auxiliary Services,
Conference and Event Services,"dev, test, prod","uces-d8.dev.umn.edu, uces-d8.stg.umn.edu, uces.umn.edu, www.uces.umn.edu","broek023, fuchs142, phamx039, cdmeyer",uces.umn.edu,AUXS - Auxiliary Services,
Vending Services,prod,"vending.dev.umn.edu, vending.stg.umn.edu, vending.dl8.umn.edu",crowe015,vending.umn.edu,AUXS - Auxiliary Services,
Contract Administration,prod,"ca.dev.umn.edu, ca.dl8.umn.edu, www.ca.umn.edu",crowe015,ca.umn.edu,AUXS - Auxiliary Services,
U Market,"dev, test, prod","umarket.dev.umn.edu, umarket.stg.umn.edu, umarketservices.umn.edu, www.umarketservices.umn.edu, www.umarket.umn.edu","schwarzk, anderslj, thale",umarket.umn.edu,AUXS - Auxiliary Services,
UMN Research Toolkit for the Life Sciences,prod,"researchtoolkit.dev.umn.edu, researchtoolkit.stg.umn.edu",mccal240,researchtoolkit.umn.edu,CBS - College of Biological Sciences,
The Lion Center,prod,"lioncenter.dev.umn.edu, lioncenter.stg.umn.edu, lioncenter.prd.umn.edu",chrislee,lioncenter.umn.edu,CBS - College of Biological Sciences,
Cedar Creek,"dev, test, prod","cedarcreek.dev.umn.edu, cedarcreek.stg.umn.edu, cedarcreek.umn.edu, www.cedarcreek.umn.edu","chrislee, waltonen",cedarcreek.umn.edu,CBS - College of Biological Sciences,
Nectary Genomics,prod,"nectarygenomics.dev.umn.edu, nectarygenomics.stg.umn.edu",cjcarter,nectarygenomics.umn.edu,CBS - College of Biological Sciences,
The Zhang Lab,prod,"zhang.dev.umn.edu, zhang.stg.umn.edu",kholmest,zhang.umn.edu,CBS - College of Biological Sciences,
Minneapolis-St. Paul Stewardship Mapping Project,prod,"mspstewmap.dev.umn.edu, mspstewmap.stg.umn.edu",sdonovan,mspstewmap.umn.edu,CBS - College of Biological Sciences,
Minnesota NMR Center,"dev, test, prod","nmr.stg.umn.edu, nmr.dev.umn.edu, nmr.dl9.umn.edu","tmclane, rapp0006",nmr.umn.edu,CBS - College of Biological Sciences,
Acoustic Communication Lab,"dev, test, prod","froglab.stg.umn.edu, froglab.dev.umn.edu, froglab.dl9.umn.edu",mbee,froglab.umn.edu,CBS - College of Biological Sciences,
Niehaus Lab,"dev, test, prod","niehauslab.dl9.umn.edu, niehauslab.dev.umn.edu, niehauslab.stg.umn.edu",tniehaus,niehauslab.umn.edu,CBS - College of Biological Sciences,
HHMI Faculty Fellows Project: Showcasing Diversity in the Biological Sciences,"dev, test, prod","scientistshowcase.stg.umn.edu, scientistshowcase.dev.umn.edu, scientistshowcase.dl9.umn.edu","song0175, gibbens",scientistshowcase.umn.edu,CBS - College of Biological Sciences,
Isbell Biodiversity Lab,prod,"biodiversitylab.dev.umn.edu, biodiversitylab.stg.umn.edu",isbell,biodiversitylab.umn.edu,CBS - College of Biological Sciences,
Protein Acrobatics Lab,"test, prod","proteinacrobaticslab.stg.umn.edu, proteinacrobaticslab.dev.umn.edu, proteinacrobaticslab.dl9.umn.edu","sivaraj, mritt",proteinacrobaticslab.umn.edu,CBS - College of Biological Sciences,
Titus Faculty Page,"test, prod","titus.stg.umn.edu, titus.dev.umn.edu, titus.dl9.umn.edu",titus004,titus.umn.edu,CBS - College of Biological Sciences,
Institutional Research and Academic Career Development Awards,prod,"mniracda.dev.umn.edu, mniracda.stg.umn.edu","tjkautz, green959",mniracda.umn.edu,CBS - College of Biological Sciences,
Community College Anatomy and Physiology Research Project,prod,"caper.dev.umn.edu, caper.stg.umn.edu",msjensen,caper.umn.edu,CBS - College of Biological Sciences,
Center for Mass Spectrometry and Proteomics,"dev, test, prod","cmsp.dev.umn.edu, cmsp.stg.umn.edu, cmsp.prd.umn.edu","chrislee, waltonen, devel016",cmsp.umn.edu,CBS - College of Biological Sciences,
CBS Intranet,prod,"intranet-cbs.dev.umn.edu, intranet-cbs.stg.umn.edu",ljanssen,intranet.cbs.umn.edu,CBS - College of Biological Sciences,
Genetics and Genomics Predoctoral Training Program,"dev, prod","genomicstraining-cbs.dev.umn.edu, genomicstraining-cbs.stg.umn.edu","tjkautz, blekhman, cbs-rlt",genomicstraining.cbs.umn.edu,CBS - College of Biological Sciences,
Broadening Representation and Equity with Science (BREWS) at the University of Minnesota,"dev, test, prod","brews-cbs.stg.umn.edu, brews-cbs.dev.umn.edu, brews-cbs.dl9.umn.edu",muellert,brews.cbs.umn.edu,CBS - College of Biological Sciences,
College of Biological Sciences,"dev, test, prod","cbs-d9.dev.umn.edu, cbs-d9.stg.umn.edu, cbs-d9.prd.umn.edu, www.cbs.umn.edu, gralnick.cbs.umn.edu, cbs.umn.edu","chrislee, waltonen",cbs.umn.edu,CBS - College of Biological Sciences,
